time,time,time,time,time,time,time,time,time,time,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_temperature,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,air_pressure_at_sea_level,max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),max(wind_speed_of_gust PT10M),relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,relative_humidity,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,cos_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,sin_deg,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed
10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55,10KM_609_61,10KM_613_60,10KM_616_49,10KM_619_46,10KM_619_71,10KM_622_54,10KM_625_51,10KM_628_65,10KM_631_54,10KM_631_55
2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,2016-01-01 01:00:00+00:00,5.3,4.8,3.2,4.5,4.2,4.3,4.0,5.7,4.1,4.2,1022.5,1022.1,1020.7,1019.4,1022.8,1020.7,1020.0,1021.3,1020.2,1020.2,6.4,5.6,5.3,9.0,3.4,6.2,6.4,8.9,6.9,6.8,94.8,94.5,98.7,95.6,98.6,97.1,97.6,91.3,96.8,96.6,-0.8290375725550418,-0.9781476007338056,-0.9396926207859083,-0.9396926207859083,-0.7880107536067219,-0.9961946980917455,-0.9743700647852351,-0.9743700647852351,-0.992546151641322,-0.9961946980917455,-0.5591929034707467,-0.2079116908177595,0.3420201433256689,0.3420201433256689,0.6156614753256584,-0.08715574274765794,0.2249510543438652,0.2249510543438652,0.12186934340514755,0.0871557427476582,4.1,2.7,3.1,4.6,1.4,3.4,3.7,5.7,4.1,4.1
2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,2016-01-01 02:00:00+00:00,5.0,4.1,2.8,3.5,4.3,3.9,3.8,5.6,3.8,3.8,1022.8,1022.4,1020.8,1019.5,1023.0,1020.9,1020.2,1021.7,1020.6,1020.6,5.4,4.9,5.3,7.2,3.9,5.4,6.6,9.0,5.4,6.4,94.8,95.4,98.9,97.2,98.6,96.5,97.6,92.0,96.8,96.8,-0.9396926207859084,-0.9998476951563913,-0.8910065241883678,-0.8290375725550416,-0.8386705679454239,-0.9902680687415704,-0.9510565162951535,-1.0,-0.9510565162951535,-0.9781476007338057,-0.34202014332566866,-0.017452406437283637,0.45399049973954686,0.5591929034707469,0.5446390350150273,0.13917310096006533,0.3090169943749475,1.2246467991473532e-16,0.3090169943749475,0.20791169081775931,3.4,2.5,3.1,4.3,1.4,2.8,3.5,7.3,3.0,3.2
2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,2016-01-01 03:00:00+00:00,4.5,3.8,2.5,3.0,4.4,3.2,3.4,5.8,3.0,3.1,1022.7,1022.3,1020.6,1019.4,1023.2,1020.8,1020.1,1021.9,1020.4,1020.4,5.0,4.2,5.8,7.0,3.9,4.4,5.5,8.1,4.8,4.6,95.5,95.5,99.1,98.0,98.6,97.2,97.6,92.0,97.4,97.3,-0.9975640502598242,-0.9816271834476639,-0.882947592858927,-0.8386705679454239,-0.9925461516413221,-0.7313537016191705,-0.8660254037844387,-0.9975640502598242,-0.754709580222772,-0.7986355100472929,-0.06975647374412527,0.19080899537654497,0.4694715627858907,0.5446390350150273,-0.12186934340514731,0.6819983600624986,0.49999999999999994,-0.06975647374412527,0.6560590289905073,0.6018150231520482,2.8,2.4,3.2,4.0,1.6,2.5,3.1,6.0,2.7,2.7
2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,2016-01-01 04:00:00+00:00,3.7,3.6,2.3,3.1,4.3,2.6,3.0,5.9,3.2,3.2,1022.5,1022.1,1020.8,1019.4,1023.2,1020.8,1020.0,1021.9,1020.1,1020.2,4.4,4.7,5.8,7.8,3.0,4.9,6.0,6.3,4.7,4.4,96.1,95.6,99.1,98.0,98.6,98.0,97.8,91.3,97.7,97.5,-0.9510565162951535,-0.9659258262890682,-0.8571673007021122,-0.9063077870366499,-0.9455185755993167,-0.7660444431189779,-0.8746197071393957,-0.9659258262890683,-0.5150380749100543,-0.5735764363510462,0.3090169943749475,0.258819045102521,0.5150380749100544,0.4226182617406995,-0.32556815445715676,0.6427876096865395,0.48480962024633717,-0.2588190451025208,0.8571673007021123,0.8191520442889917,2.1,2.5,3.2,4.1,1.0,2.7,3.2,4.4,2.8,2.7
2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,2016-01-01 05:00:00+00:00,3.7,3.5,2.5,3.9,4.3,2.6,2.8,5.5,2.2,2.2,1022.7,1022.2,1021.1,1019.9,1023.1,1020.9,1020.2,1021.7,1020.2,1020.3,6.1,5.5,6.1,9.3,2.2,5.4,6.5,5.1,5.0,5.3,96.9,96.1,99.1,97.5,98.8,98.3,98.1,90.0,97.8,97.7,-0.9975640502598242,-0.9993908270190958,-0.882947592858927,-0.9961946980917455,-0.6560590289905072,-0.8660254037844387,-0.9455185755993168,-0.9063077870366499,-0.4383711467890775,-0.40673664307580026,0.06975647374412552,0.03489949670250114,0.4694715627858907,0.0871557427476582,0.7547095802227721,0.49999999999999994,0.3255681544571566,0.4226182617406995,0.8987940462991669,0.9135454576426009,2.9,3.1,3.3,4.2,0.5,3.0,3.7,3.8,2.7,2.8
2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,2016-01-01 06:00:00+00:00,3.2,3.3,3.2,4.6,4.2,2.9,3.2,5.5,2.3,2.2,1023.0,1022.6,1021.5,1020.5,1023.4,1021.4,1020.8,1022.0,1020.7,1020.7,5.4,4.9,5.7,6.1,4.4,5.6,6.5,7.8,6.6,5.8,96.8,96.4,98.6,96.2,99.4,98.1,98.1,91.0,98.1,98.0,-0.9563047559630354,-0.984807753012208,-0.9455185755993168,-0.9998476951563913,-0.7193398003386513,-0.9612616959383189,-0.9781476007338057,-0.9271838545667873,-0.8660254037844387,-0.8386705679454239,-0.29237170472273677,-0.17364817766693047,0.3255681544571566,-0.017452406437283637,0.6946583704589971,0.2756373558169992,0.20791169081775931,0.37460659341591224,0.49999999999999994,0.5446390350150273,3.1,3.0,3.3,3.7,1.3,3.1,3.8,4.8,3.1,2.9
2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,2016-01-01 07:00:00+00:00,3.6,3.3,3.5,4.6,4.3,3.2,3.7,5.4,2.1,1.9,1023.5,1023.2,1021.9,1021.1,1023.6,1021.9,1021.3,1022.2,1021.2,1021.2,5.7,5.1,5.1,7.3,3.8,5.2,6.6,8.8,6.9,6.5,96.6,96.4,98.1,95.2,99.6,98.2,98.0,90.8,97.6,97.6,-0.9271838545667874,-0.9781476007338056,-0.992546151641322,-0.9998476951563913,-0.6946583704589974,-0.9702957262759965,-0.9945218953682733,-0.9781476007338057,-0.9702957262759965,-0.9510565162951535,-0.374606593415912,-0.2079116908177595,0.12186934340514755,-0.017452406437283637,0.7193398003386511,0.24192189559966773,0.10452846326765373,0.20791169081775931,0.24192189559966773,0.3090169943749475,3.4,3.0,3.1,3.4,1.6,2.8,3.5,6.1,4.0,3.8
2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,2016-01-01 08:00:00+00:00,3.7,3.3,3.6,4.5,4.3,3.5,3.9,5.0,2.5,2.3,1023.9,1023.5,1022.6,1021.8,1023.9,1022.4,1021.9,1023.2,1021.7,1021.7,5.9,5.8,4.4,4.6,3.5,4.4,4.9,9.1,6.3,6.4,96.1,96.3,98.3,95.8,99.6,98.2,97.9,90.7,97.4,97.5,-0.9271838545667874,-0.9743700647852352,-0.9945218953682733,-0.9986295347545738,-0.8746197071393957,-0.9612616959383189,-0.9945218953682733,-0.9998476951563913,-0.9702957262759965,-0.9612616959383189,-0.374606593415912,-0.22495105434386498,0.10452846326765373,0.05233595624294381,0.48480962024633717,0.2756373558169992,0.10452846326765373,0.01745240643728344,0.24192189559966773,0.2756373558169992,3.5,3.1,2.5,2.7,1.5,2.4,3.0,6.7,3.5,3.5
2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,2016-01-01 09:00:00+00:00,4.0,3.8,3.8,4.8,4.4,3.9,4.2,4.8,3.4,3.3,1024.2,1023.8,1022.9,1022.1,1024.6,1022.8,1022.3,1023.5,1022.1,1022.1,5.6,5.1,4.4,4.4,4.3,4.2,4.8,8.1,6.3,6.1,96.0,95.4,98.4,95.0,99.6,97.8,97.8,92.3,97.1,97.2,-0.9563047559630354,-0.9781476007338056,-0.9396926207859083,-0.9975640502598242,-0.9993908270190958,-0.9902680687415704,-0.9993908270190958,-0.9993908270190958,-0.9945218953682733,-0.9902680687415704,-0.29237170472273677,-0.2079116908177595,0.3420201433256689,0.06975647374412552,-0.0348994967025009,0.13917310096006533,0.03489949670250114,0.03489949670250114,0.10452846326765373,0.13917310096006533,3.1,2.7,2.3,2.5,1.4,2.4,2.9,6.4,3.6,3.5
